자치구,대여소명,기준년월,대여건수,반납건수,이용합계
강남구,2301. 현대고등학교 건너편,202301,383,439,822
강남구,2302. 교보타워 버스정류장(신논현역 3번출구 후면),202301,433,446,879
강남구,2303. 논현역 10번출구,202301,648,508,1156
강남구,2304. 대현그린타워,202301,76,55,131
강남구,2305. MCM 본사 직영점 앞,202301,172,179,351
강남구,2306. 압구정역 2번 출구 옆,202301,865,830,1695
강남구,2307. 압구정 한양 3차 아파트,202301,201,149,350
강남구,2308. 압구정파출소 앞,202301,516,543,1059
강남구,2309. 청담역(우리들병원 앞),202301,165,75,240
강남구,2310. 청담동 맥도날드 옆(위치),202301,193,207,400
강남구,2311. 학동로 래미안 아파트 앞,202301,95,64,159
강남구,2312. 청담역 13번 출구 앞,202301,222,180,402
강남구,2313. 금원빌딩 앞,202301,322,356,678
강남구,2314. 청담나들목입구,202301,113,110,223
강남구,2315. 봉은사역 5번출구 옆,202301,263,246,509
강남구,2317. 삼성도로공원,202301,201,202,403
강남구,2318. 삼성중앙역4번출구(문화센터더 리빌),202301,132,66,198
강남구,2319. 포스코사거리 서측(수협 삼성동 지점),202301,306,345,651
강남구,2320. 도곡역 대치지구대 방향,202301,265,307,572
강남구,2321. 학여울역 사거리,202301,185,198,383
강남구,2323. 주식회사 오뚜기 정문 앞,202301,315,318,633
강남구,2324. 천주교 대치 2동 교회 옆,202301,577,584,1161
강남구,2325. 대치삼성아파트 앞 교차로,202301,415,399,814
강남구,2326. 대치동 삼성로,202301,357,204,561
강남구,2327. 뱅뱅사거리 랜드마크타워 앞,202301,505,565,1070
강남구,2328. 르네상스 호텔 사거리 역삼지하보도 7번출구 앞,202301,329,314,643
강남구,2329. 르네상스호텔사거리 역삼지하보도 2번출구,202301,267,244,511
강남구,2330. 역삼월드메르디앙아파트 앞,202301,279,285,564
강남구,2331. 동영문화센터앞,202301,363,312,675
강남구,2332. 선릉역3번출구,202301,748,759,1507
강남구,2333. 양재역 3번출구 주변,202301,603,346,949
강남구,2334. 삼호아파트 2동 ( 간선도로),202301,133,111,244
강남구,2335. 3호선 매봉역 3번출구앞,202301,728,852,1580
강남구,2336. 강남세브란스교차로  래미안그레이튼 104동 앞,202301,285,256,541
강남구,2337. 대모산입구역 2번출구 앞,202301,221,175,396
강남구,2339. 현대아파트 정문 앞,202301,299,250,549
강남구,2340. 삼호물산버스정류장(23370) 옆,202301,845,"1,034",1879
강남구,2341. 일원역 4~5번 출구 사이,202301,229,125,354
강남구,2342. 대청역 1번출구  뒤,202301,646,686,1332
강남구,2343. 세곡사거리 대왕파출소 앞,202301,42,23,65
강남구,2344. 리엔파크 2단지 앞,202301,154,156,310
강남구,2347. 두산건설 본사,202301,127,47,174
강남구,2348. 포스코사거리(기업은행),202301,736,837,1573
강남구,2349. 역삼빌딩 앞(하나은행 옆),202301,286,137,423
강남구,2350. 래미안그레이튼102동앞,202301,113,123,236
강남구,2351. 청소년수련관(수영장)앞,202301,188,125,313
강남구,2352. 서울본부세관(건설회관 앞),202301,57,41,98
강남구,2353. 강남구청역 2번출구 뒤,202301,178,169,347
강남구,2354. 청담역 2번출구,202301,69,69,138
강남구,2356. 강남구청,202301,197,128,325
강남구,2357. 르네상스호텔사거리 역삼지하보도 3번출구 앞 (더 오번 빌딩 명동칼국수 앞),202301,217,206,423
강남구,2358. 구룡초사거리 (현대아파트10동 앞 ),202301,227,230,457
강남구,"2359. 국립국악중,고교 정문 맞은편",202301,384,448,832
강남구,2360. 도곡1동 주민센터 교차로,202301,320,324,644
강남구,2362. 신사동 가로수길 입구,202301,368,347,715
강남구,2363. 강남 을지병원 교차로,202301,151,145,296
강남구,2364. 도산공원교차로,202301,257,265,522
강남구,2365. K+ 타워 앞,202301,341,357,698
강남구,2368. 도곡동 경남아파트 건너편,202301,159,118,277
강남구,2369. KT선릉타워,202301,439,435,874
강남구,2370. 한티역 3번출구,202301,201,208,409
강남구,2371. 한국우편사업진흥원,202301,60,37,97
강남구,2372. 대치역 사거리,202301,245,300,545
강남구,2373. 개포동역 사거리,202301,259,219,478
강남구,2375. 수서역 1번출구 앞,202301,501,626,1127
강남구,2377. 수서역 5번출구,202301,"1,242","1,275",2517
강남구,2380. 삼성동베이직하우스앞,202301,232,175,407
강남구,2381. 언주역 6번출구앞,202301,170,170,340
강남구,2382. 역삼동 sk뷰 501동앞,202301,237,230,467
강남구,2383. 보금자리정원,202301,110,111,221
강남구,2384. 자곡사거리,202301,561,589,1150
강남구,2385. 학동역,202301,307,282,589
강남구,2386. 크린랩 본사,202301,71,48,119
강남구,2387. 래미안강남힐즈 사거리,202301,229,296,525
강남구,2388. 강남구 도시관리공단,202301,213,105,318
강남구,2389. 경기여자고등학교 후문 (삼성로3길 입구),202301,250,226,476
강남구,2390. 구룡마을 입구 (래미안블레스티지 아파트),202301,151,146,297
강남구,2391. 구룡터널 입구(개포1단지아파트),202301,3,2,5
강남구,2392. 구룡산 입구 (구룡산 서울둘레길 입구),202301,113,59,172
강남구,2393. 구룡사 앞 교차로 (보도육교),202301,51,27,78
강남구,2394. 개포래미안포레스트아파트 107동 앞,202301,288,251,539
강남구,2395. 개포1단지아파트 입구 (보도육교),202301,57,39,96
강남구,2396. 영동3교 북단(우성캐릭터 앞 보도),202301,187,142,329
강남구,2398. 더라움,202301,94,94,188
강남구,2401. 밀알학교 입구 (삼성서울병원 입구),202301,115,96,211
강남구,2403. 공무원연금매점 교차로 (개포주공9단지 입구),202301,175,173,348
강남구,2404. 대모산입구역 4번 출구 앞,202301,537,617,1154
강남구,2405. 청담공원앞 교차로,202301,428,197,625
강남구,2406. 논현동 광명빌딩 앞,202301,144,142,286
강남구,2408. 강남한양수자인아파트,202301,434,413,847
강남구,2409. 역삼동 디오슈페리움 (우성아파트 사거리),202301,404,412,816
강남구,2410. 포스코피앤에스타워 (역삼역 3번출구 부근),202301,578,483,1061
강남구,2411. 세곡동 성당,202301,387,392,779
강남구,2412. 일원1동 주민센터,202301,427,414,841
강남구,2413.도곡역 1번 출구,202301,339,386,725
강남구,2414. 도곡역 아카데미스위트 앞,202301,667,661,1328
강남구,2415.한티역 롯데백화점 앞,202301,581,576,1157
강남구,2416.한티역 6번 출구,202301,303,299,602
강남구,2417.선정릉 디캠프(D.CAMP)앞,202301,111,111,222
강남구,2418.봉은사역 7번 출구 ,202301,375,382,757
강남구,"2419.봉은사역 1,2번 출구 ",202301,275,290,565
강남구,2420.학여울역 사거리(LG베스트샵 앞),202301,313,311,624
강남구,2421. 신논현역 4번출구,202301,394,310,704
강남구,2422.수서동 성당 맞은편,202301,184,222,406
강남구,2423.영희초교 사거리(래미안개포루체하임),202301,354,377,731
강남구,2425.세곡동 사거리(대왕초등학교 정류장),202301,67,57,124
강남구,2426.강남한신휴플러스 6단지,202301,271,273,544
강남구,2427.개포고등학교 정문앞,202301,192,194,386
강남구,2428.롯데리아 개포점앞,202301,209,211,420
강남구,2429.압구정로데오역 6번출구,202301,323,333,656
강남구,2430.강남파이낸스센터앞(역삼역2번출구),202301,351,235,586
강남구,2431.대치역 7번출구,202301,659,715,1374
강남구,3602. 한국지역난방공사강남지사,202301,262,266,528
강남구,3604. 삼성중앙역 5번출구,202301,404,288,692
강남구,3606. 신사동주민센터 옆,202301,295,366,661
강남구,3609. 언주초등학교 입구,202301,278,284,562
강남구,3610. 윗반마을 입구,202301,35,41,76
강남구,3611. 방죽마을 입구,202301,115,148,263
강남구,3612. 은곡마을,202301,168,209,377
강남구,3614. 은마아파트 입구 사거리,202301,609,590,1199
강남구,3615. 서울 논현동우체국 앞,202301,115,115,230
강남구,3616. 역삼중학교 앞(체육관 방향),202301,157,126,283
강남구,3618. 서울율현초교 삼거리,202301,392,420,812
강남구,3620. 청담역 11번 출구,202301,76,14,90
강남구,3621. 휘문고교 사거리,202301,157,119,276
강남구,3622. 은마아파트입구 사거리(1),202301,143,114,257
강남구,3623. 일원에코파크 앞(개포로 방면),202301,198,219,417
강남구,3624. 대모산입구역 7번 출구 앞,202301,90,62,152
강남구,3627. 압구정나들목,202301,339,401,740
강남구,3628. 역삼1동 주민센터,202301,564,628,1192
강남구,3629. 청담사거리(신한오피스텔빌딩 앞),202301,132,256,388
강남구,3630. 개포우성6차아파트 정문 앞,202301,233,162,395
강남구,3634. 국악고교 앞 교차로,202301,208,218,426
강남구,3636. 삼성중앙역·플래티넘아파트 정류소,202301,280,274,554
강남구,3637. 세곡데이케어센터,202301,100,86,186
강남구,3638. 신청담나들목,202301,97,97,194
강남구,3640. 일원1동주민센터앞 사거리,202301,211,207,418
강남구,3641. 대청역,202301,317,314,631
